t,s
10,1.2543261182170111
20,2.18017645278028
30,2.929554696185594
40,3.5550666963585438
50,4.086236819424352
60,4.542381430549469
70,4.937227977946122
80,5.281055311377312
90,5.581842148323699
100,5.845946403356595
110,6.078536194392336
120,6.283878204712432
130,6.46553882104708
140,6.626529229735589
150,6.769413026236427
160,6.8963878967034375
170,7.009348852118379
180,7.1099380153882645
190,7.199584398305937
200,7.279536088507692
210,7.350886587205579
220,7.414596573677519
230,7.471512047678362
240,7.522379569640137
250,7.567859151004008
260,7.608535223812762
270,7.644926026793103
280,7.677491675730076
290,7.706641132864849
